ICacheEventId,CoreId,CoreTypeId,EventTimeTick,SourceInstrAddr,EventSize,HitStatus,ICacheEventType
1778,0,2,7362,624191671760,16,1,1
1779,0,3,7362,624191671452,4,1,1
1780,0,3,7363,624191671456,16,1,1
1781,0,3,7364,624191671472,16,1,1
1782,0,3,7365,624191671488,16,1,1
1783,0,3,7371,624191671460,12,1,1
1784,0,3,7372,624191671472,16,1,1
1785,0,2,7373,624191671732,12,1,1
1786,0,3,7373,624191671488,16,1,1
1787,0,2,7374,624191671744,16,1,1
1788,0,3,7374,624191671504,16,1,1
1789,0,2,7375,624191671760,16,1,1
1790,0,2,7376,624191671776,16,1,1
1791,0,1,7379,624191669940,12,1,1
1792,0,1,7380,624191669952,16,1,1
1793,0,1,7381,624191669968,16,1,1
1794,0,1,7382,624191669984,16,1,1
1795,0,1,7383,624191669972,12,1,1
1796,0,3,7383,624191671460,12,1,1
1797,0,1,7384,624191669984,16,1,1
1798,0,3,7384,624191671472,16,1,1
1799,0,1,7385,624191670000,16,1,1
1800,0,3,7385,624191671488,16,1,1
1801,0,1,7386,624191669944,8,1,1
1802,0,3,7386,624191671504,16,1,1
1803,0,1,7387,624191669952,16,1,1
1804,0,2,7387,624191671792,16,1,1
1805,0,1,7388,624191669968,16,1,1
1806,0,2,7388,624191671808,16,1,1
1807,0,1,7389,624191669984,16,1,1
1808,0,2,7389,624191671824,16,1,1
1809,0,1,7390,624191669972,12,1,1
1810,0,2,7390,624191671840,16,1,1
1811,0,1,7391,624191669984,16,1,1
1812,0,2,7391,624191671856,16,1,1
1813,0,1,7392,624191670000,16,1,1
1814,0,3,7393,624191671460,12,1,1
1815,0,1,7394,624191669984,16,1,1
1816,0,3,7394,624191671472,16,1,1
1817,0,1,7395,624191670000,16,1,1
1818,0,3,7395,624191671488,16,1,1
1819,0,1,7396,624191670016,16,1,1
1820,0,1,7397,624191669944,8,1,1
1821,0,1,7398,624191669952,16,1,1
1822,0,1,7399,624191669968,16,1,1
1823,0,1,7400,624191669984,16,1,1
1824,0,1,7401,624191670000,16,1,1
1825,0,2,7402,624191671772,4,1,1
1826,0,1,7403,624191669996,4,1,1
1827,0,2,7403,624191671776,16,1,1
1828,0,1,7404,624191670000,16,1,1
1829,0,2,7404,624191671792,16,1,1
1830,0,3,7404,624191671460,12,1,1
1831,0,1,7405,624191670016,16,1,1
1832,0,2,7405,624191671808,16,1,1
1833,0,3,7405,624191671472,16,1,1
1834,0,1,7406,624191670032,16,1,1
1835,0,2,7406,624191671824,16,1,1
1836,0,3,7406,624191671488,16,1,1
1837,0,1,7407,624191669940,12,1,1
1838,0,2,7407,624191671840,16,1,1
1839,0,1,7408,624191669952,16,1,1
1840,0,2,7408,624191671856,16,1,1
1841,0,1,7409,624191669968,16,1,1
1842,0,2,7409,624191671872,16,1,1
1843,0,3,7409,624191671500,4,1,1
1844,0,1,7410,624191669984,16,1,1
1845,0,2,7410,624191671888,16,1,1
1846,0,3,7410,624191671504,16,1,1
1847,0,2,7411,624191671904,16,1,1
1848,0,3,7411,624191671520,16,1,1
1849,0,1,7412,624191670008,8,1,1
1850,0,2,7412,624191671920,16,1,1
1851,0,3,7412,624191671536,16,1,1
1852,0,1,7413,624191670016,16,1,1
1853,0,2,7413,624191671936,16,1,1
1854,0,3,7413,624191671552,16,1,1
1855,0,1,7414,624191670032,16,1,1
1856,0,2,7414,624191671952,16,1,1
1857,0,3,7414,624191671568,16,1,1
1858,0,1,7415,624191670048,16,1,1
1859,0,2,7415,624191671968,16,1,1
1860,0,3,7415,624191671584,16,1,1
1861,0,2,7416,624191671984,16,1,1
1862,0,3,7416,624191671600,16,1,1
1863,0,3,7417,624191671616,16,1,1
1864,0,3,7418,624191671632,16,1,1
1865,0,3,7419,624191671648,16,1,1
1866,0,3,7420,624191671664,16,1,1
1867,0,3,7421,624191671680,16,1,1
1868,0,3,7422,624191671696,16,1,1
1869,0,1,7423,624191669940,12,1,1
1870,0,1,7424,624191669952,16,1,1
1871,0,2,7424,624191672000,16,1,1
1872,0,1,7425,624191669968,16,1,1
1873,0,2,7425,624191672016,16,1,1
1874,0,1,7426,624191669984,16,1,1
1875,0,2,7426,624191672032,16,1,1
1876,0,1,7427,624191670000,16,1,1
1877,0,2,7427,624191672048,16,1,1
1878,0,1,7428,624191670212,12,1,1
1879,0,1,7429,624191670224,16,1,1
1880,0,1,7430,624191670240,16,1,1
1881,0,3,7430,624191671712,16,1,1
1882,0,1,7431,624191670256,16,1,1
1883,0,3,7431,624191671728,16,1,1
1884,0,3,7432,624191671744,16,1,1
1885,0,1,7433,624191669972,12,1,1
1886,0,3,7433,624191671760,16,1,1
1887,0,1,7434,624191669984,16,1,1
1888,0,1,7435,624191670000,16,1,1
1889,0,1,7436,624191669944,8,1,1
1890,0,1,7437,624191669952,16,1,1
1891,0,1,7438,624191669968,16,1,1
1892,0,2,7438,624191671452,4,1,1
1893,0,1,7439,624191669984,16,1,1
1894,0,2,7439,624191671456,16,1,1
1895,0,1,7440,624191669972,12,1,1
1896,0,2,7440,624191671472,16,1,1
1897,0,2,7441,624191671488,16,1,1
1898,0,1,7442,624191669984,16,1,1
1899,0,1,7443,624191670000,16,1,1
1900,0,1,7444,624191670016,16,1,1
1901,0,3,7444,624191671732,12,1,1
1902,0,1,7445,624191669944,8,1,1
1903,0,3,7445,624191671744,16,1,1
1904,0,1,7446,624191669952,16,1,1
1905,0,3,7446,624191671760,16,1,1
1906,0,1,7447,624191669968,16,1,1
1907,0,2,7447,624191671460,12,1,1
1908,0,3,7447,624191671776,16,1,1
1909,0,1,7448,624191669984,16,1,1
1910,0,2,7448,624191671472,16,1,1
1911,0,1,7449,624191669972,12,1,1
1912,0,2,7449,624191671488,16,1,1
1913,0,2,7450,624191671504,16,1,1
1914,0,1,7451,624191669996,4,1,1
1915,0,1,7452,624191670000,16,1,1
1916,0,1,7453,624191670016,16,1,1
1917,0,1,7454,624191670032,16,1,1
1918,0,1,7455,624191669940,12,1,1
1919,0,1,7456,624191669952,16,1,1
1920,0,1,7457,624191669968,16,1,1
1921,0,1,7458,624191669984,16,1,1
1922,0,3,7458,624191671792,16,1,1
1923,0,3,7459,624191671808,16,1,1
1924,0,1,7460,624191670008,8,1,1
1925,0,3,7460,624191671824,16,1,1
1926,0,1,7461,624191670016,16,1,1
1927,0,3,7461,624191671840,16,1,1
1928,0,1,7462,624191670032,16,1,1
1929,0,3,7462,624191671856,16,1,1
1930,0,1,7463,624191670048,16,1,1
1931,0,2,7464,624191671520,16,1,1
1932,0,2,7465,624191671536,16,1,1
1933,0,2,7466,624191671552,16,1,1
1934,0,3,7473,624191671772,4,1,1
1935,0,3,7474,624191671776,16,1,1
1936,0,2,7475,624191671568,16,1,1
1937,0,3,7475,624191671792,16,1,1
1938,0,2,7476,624191671584,16,1,1
1939,0,3,7476,624191671808,16,1,1
1940,0,2,7477,624191671600,16,1,1
1941,0,3,7477,624191671824,16,1,1
1942,0,3,7478,624191671840,16,1,1
1943,0,3,7479,624191671856,16,1,1
1944,0,3,7480,624191671872,16,1,1
1945,0,3,7481,624191671888,16,1,1
1946,0,3,7482,624191671904,16,1,1
1947,0,3,7483,624191671920,16,1,1
1948,0,3,7484,624191671936,16,1,1
1949,0,2,7485,624191671500,4,1,1
1950,0,3,7485,624191671952,16,1,1
1951,0,2,7486,624191671504,16,1,1
1952,0,3,7486,624191671968,16,1,1
1953,0,2,7487,624191671520,16,1,1
1954,0,3,7487,624191671984,16,1,1
1955,0,2,7488,624191671536,16,1,1
1956,0,2,7489,624191671552,16,1,1
1957,0,2,7490,624191671568,16,1,1
1958,0,2,7491,624191671584,16,1,1
1959,0,2,7492,624191671600,16,1,1
1960,0,2,7493,624191671616,16,1,1
1961,0,2,7494,624191671632,16,1,1
1962,0,2,7495,624191671648,16,1,1
1963,0,3,7495,624191672000,16,1,1
1964,0,2,7496,624191671664,16,1,1
1965,0,3,7496,624191672016,16,1,1
1966,0,2,7497,624191671680,16,1,1
1967,0,3,7497,624191672032,16,1,1
1968,0,2,7498,624191671696,16,1,1
1969,0,3,7498,624191672048,16,1,1
1970,0,2,7506,624191671712,16,1,1
1971,0,2,7507,624191671728,16,1,1
1972,0,2,7508,624191671744,16,1,1
