CoreId,EventType,EventTick,MteInstrId,PackageAddr,TagId,GroupId
0,3,6606,8,0,0,0
0,3,6607,8,80,0,0
0,3,6608,8,100,0,0
0,3,6609,8,180,0,0
0,3,6649,7,0,0,0
0,3,6650,7,80,0,0
0,3,6651,7,100,0,0
0,3,6652,7,180,0,0
0,3,7641,9,200,0,0
0,3,7642,9,280,0,0
0,3,7643,9,300,0,0
0,3,7644,9,380,0,0
0,3,7715,10,200,0,0
0,3,7716,10,280,0,0
0,3,7717,10,300,0,0
0,3,7718,10,380,0,0
0,3,7739,12,0,0,0
0,3,7740,12,80,0,0
0,3,7741,12,100,0,0
0,3,7742,12,180,0,0
0,3,7796,14,0,0,0
0,3,7797,14,80,0,0
0,3,7798,14,100,0,0
0,3,7799,14,180,0,0
0,3,8452,20,0,0,0
0,3,8453,20,80,0,0
0,3,8454,20,100,0,0
0,3,8455,20,180,0,0
0,3,8475,16,200,0,0
0,3,8476,16,280,0,0
0,3,8477,16,300,0,0
0,3,8478,16,380,0,0
0,3,8503,22,0,0,0
0,3,8504,22,80,0,0
0,3,8505,22,100,0,0
0,3,8506,22,180,0,0
0,3,8541,18,200,0,0
0,3,8542,18,280,0,0
0,3,8543,18,300,0,0
0,3,8544,18,380,0,0
0,3,9286,28,0,0,0
0,3,9287,28,80,0,0
0,3,9288,28,100,0,0
0,3,9289,28,180,0,0
0,3,9290,24,200,0,0
0,3,9291,24,280,0,0
0,3,9292,24,300,0,0
0,3,9293,24,380,0,0
0,3,9351,30,0,0,0
0,3,9352,30,80,0,0
0,3,9353,30,100,0,0
0,3,9354,30,180,0,0
0,3,9370,26,200,0,0
0,3,9371,26,280,0,0
0,3,9372,26,300,0,0
0,3,9373,26,380,0,0
0,3,10129,32,200,0,0
0,3,10130,32,280,0,0
0,3,10131,32,300,0,0
0,3,10132,32,380,0,0
0,3,10197,34,200,0,0
0,3,10198,34,280,0,0
0,3,10199,34,300,0,0
0,3,10200,34,380,0,0
