CoreId,CoreTypeId,VfId,MetricId,MetricName,MetricDelta
0,2,6,9,c_stat_stu_grant_size,512
0,2,7,9,c_stat_stu_grant_size,2560
0,2,8,9,c_stat_stu_grant_size,512
0,2,9,9,c_stat_stu_grant_size,2560
0,2,10,9,c_stat_stu_grant_size,512
0,2,11,9,c_stat_stu_grant_size,2560
0,2,12,9,c_stat_stu_grant_size,512
0,2,13,9,c_stat_stu_grant_size,2560
0,2,14,9,c_stat_stu_grant_size,512
0,2,15,9,c_stat_stu_grant_size,2560
0,2,16,9,c_stat_stu_grant_size,512
0,2,17,9,c_stat_stu_grant_size,2560
0,2,18,9,c_stat_stu_grant_size,512
0,2,3,10,c_stat_gsu_grant_size,0
0,2,4,10,c_stat_gsu_grant_size,0
0,2,5,10,c_stat_gsu_grant_size,0
0,2,6,10,c_stat_gsu_grant_size,0
0,2,7,10,c_stat_gsu_grant_size,0
0,2,8,10,c_stat_gsu_grant_size,0
0,2,9,10,c_stat_gsu_grant_size,0
0,2,10,10,c_stat_gsu_grant_size,0
0,2,11,10,c_stat_gsu_grant_size,0
0,2,12,10,c_stat_gsu_grant_size,0
0,2,13,10,c_stat_gsu_grant_size,0
0,2,14,10,c_stat_gsu_grant_size,0
0,2,15,10,c_stat_gsu_grant_size,0
0,2,16,10,c_stat_gsu_grant_size,0
0,2,17,10,c_stat_gsu_grant_size,0
0,2,18,10,c_stat_gsu_grant_size,0
0,2,3,11,c_cycle_icache_miss,0
0,2,4,11,c_cycle_icache_miss,335
0,2,5,11,c_cycle_icache_miss,0
0,2,6,11,c_cycle_icache_miss,0
0,2,7,11,c_cycle_icache_miss,0
0,2,8,11,c_cycle_icache_miss,0
0,2,9,11,c_cycle_icache_miss,0
0,2,10,11,c_cycle_icache_miss,0
0,2,11,11,c_cycle_icache_miss,0
0,2,12,11,c_cycle_icache_miss,0
0,2,13,11,c_cycle_icache_miss,0
0,2,14,11,c_cycle_icache_miss,0
0,2,15,11,c_cycle_icache_miss,0
0,2,16,11,c_cycle_icache_miss,0
0,2,17,11,c_cycle_icache_miss,0
0,2,18,11,c_cycle_icache_miss,0
0,2,3,12,c_cycle_send_stall,125
0,2,4,12,c_cycle_send_stall,42
0,2,5,12,c_cycle_send_stall,24
0,2,6,12,c_cycle_send_stall,14
0,2,7,12,c_cycle_send_stall,13
0,2,8,12,c_cycle_send_stall,36
0,2,9,12,c_cycle_send_stall,24
0,2,10,12,c_cycle_send_stall,14
0,2,11,12,c_cycle_send_stall,13
0,2,12,12,c_cycle_send_stall,36
0,2,13,12,c_cycle_send_stall,24
0,2,14,12,c_cycle_send_stall,14
0,2,15,12,c_cycle_send_stall,13
0,2,16,12,c_cycle_send_stall,36
0,2,17,12,c_cycle_send_stall,24
0,2,18,12,c_cycle_send_stall,36
0,2,3,13,c_cycle_branch_wait_sreg,0
0,2,4,13,c_cycle_branch_wait_sreg,0
0,2,5,13,c_cycle_branch_wait_sreg,0
0,2,6,13,c_cycle_branch_wait_sreg,0
0,2,7,13,c_cycle_branch_wait_sreg,0
0,2,8,13,c_cycle_branch_wait_sreg,0
0,2,9,13,c_cycle_branch_wait_sreg,0
0,2,10,13,c_cycle_branch_wait_sreg,0
0,2,11,13,c_cycle_branch_wait_sreg,0
0,2,12,13,c_cycle_branch_wait_sreg,0
0,2,13,13,c_cycle_branch_wait_sreg,0
0,2,14,13,c_cycle_branch_wait_sreg,0
0,2,15,13,c_cycle_branch_wait_sreg,0
0,2,16,13,c_cycle_branch_wait_sreg,0
0,2,17,13,c_cycle_branch_wait_sreg,0
0,2,18,13,c_cycle_branch_wait_sreg,0
0,2,3,14,c_cycle_vloop_wait_sreg,0
0,2,4,14,c_cycle_vloop_wait_sreg,0
0,2,5,14,c_cycle_vloop_wait_sreg,0
0,2,6,14,c_cycle_vloop_wait_sreg,0
0,2,7,14,c_cycle_vloop_wait_sreg,0
0,2,8,14,c_cycle_vloop_wait_sreg,0
0,2,9,14,c_cycle_vloop_wait_sreg,0
0,2,10,14,c_cycle_vloop_wait_sreg,0
0,2,11,14,c_cycle_vloop_wait_sreg,0
0,2,12,14,c_cycle_vloop_wait_sreg,0
0,2,13,14,c_cycle_vloop_wait_sreg,0
0,2,14,14,c_cycle_vloop_wait_sreg,0
0,2,15,14,c_cycle_vloop_wait_sreg,0
0,2,16,14,c_cycle_vloop_wait_sreg,0
0,2,17,14,c_cycle_vloop_wait_sreg,0
0,2,18,14,c_cycle_vloop_wait_sreg,0
0,2,3,15,c_cycle_vloop_bmode_flush,0
0,2,4,15,c_cycle_vloop_bmode_flush,0
0,2,5,15,c_cycle_vloop_bmode_flush,0
0,2,6,15,c_cycle_vloop_bmode_flush,0
0,2,7,15,c_cycle_vloop_bmode_flush,0
0,2,8,15,c_cycle_vloop_bmode_flush,0
0,2,9,15,c_cycle_vloop_bmode_flush,0
0,2,10,15,c_cycle_vloop_bmode_flush,0
0,2,11,15,c_cycle_vloop_bmode_flush,0
