ExecInstrId,ScalarIPC,ExecIPC,LdStIPC
61022895343926,0.06493506493506493,0.15584415584415584,0.18831168831168832
61022895345666,0.0625,0.125,0.21875
61022895345981,0.07142857142857142,0.15584415584415584,0.18831168831168832
61022895346166,0.032679738562091505,0.10457516339869281,0.1830065359477124
61022895346559,0.05945945945945946,0.15135135135135136,0.1837837837837838
61022895346683,0.012578616352201259,0.11320754716981132,0.1761006289308176
61022895347037,0.07142857142857142,0.15584415584415584,0.18831168831168832
61022895347205,0.032679738562091505,0.10457516339869281,0.1830065359477124
61022895347596,0.05945945945945946,0.15135135135135136,0.1837837837837838
61022895347714,0.012578616352201259,0.11320754716981132,0.1761006289308176
61022895348070,0.07142857142857142,0.15584415584415584,0.18831168831168832
61022895348284,0.032679738562091505,0.10457516339869281,0.1830065359477124
61022895348788,0.05945945945945946,0.15135135135135136,0.1837837837837838
61022895348992,0.012578616352201259,0.11320754716981132,0.1761006289308176
61022895349518,0.07142857142857142,0.15584415584415584,0.18831168831168832
61022895349737,0.013071895424836602,0.10457516339869281,0.1830065359477124
61297773250882,0.06493506493506493,0.15584415584415584,0.18831168831168832
61297773252841,0.0625,0.125,0.21875
61297773253213,0.07142857142857142,0.15584415584415584,0.18831168831168832
61297773253375,0.03164556962025317,0.10126582278481013,0.17721518987341772
61297773253735,0.05945945945945946,0.15135135135135136,0.1837837837837838
61297773253849,0.012578616352201259,0.11320754716981132,0.1761006289308176
61297773254283,0.07142857142857142,0.15584415584415584,0.18831168831168832
61297773254432,0.03125,0.1,0.175
61297773254766,0.05945945945945946,0.15135135135135136,0.1837837837837838
61297773254884,0.012578616352201259,0.11320754716981132,0.1761006289308176
61297773255364,0.07142857142857142,0.15584415584415584,0.18831168831168832
61297773255577,0.032679738562091505,0.10457516339869281,0.1830065359477124
61297773256089,0.05945945945945946,0.15135135135135136,0.1837837837837838
61297773256296,0.012578616352201259,0.11320754716981132,0.1761006289308176
61297773256831,0.07142857142857142,0.15584415584415584,0.18831168831168832
61297773257004,0.013071895424836602,0.10457516339869281,0.1830065359477124
