CoreId,CoreTypeId,CounterName,CounterValue
0,2,CCU.scalar_veccore0_su_issue_branch_reg_instr_num,0
0,2,CCU.scalar_veccore0_su_issue_branch_imm_instr_num,26
0,2,CCU.scalar_veccore0_su_icache_read_stall_cycle,0
0,2,CCU.scalar_veccore0_su_dcache_allocate_size(B),896
0,2,CCU.scalar_veccore0_su_issue_dsb_stall_cycle,0
0,3,kernel_total_ticks,10838
0,3,system_total_ticks,11764
0,3,CCU.scalar_veccore1_su_busy_cycle,4795
0,3,CCU.scalar_veccore1_su_issue_ldst_instr_num,474
0,3,CCU.scalar_veccore1_su_issue_exe_instr_num,740
0,3,CCU.scalar_veccore1_su_issue_variable_instr_num,0
0,3,CCU.scalar_veccore1_su_issue_float_instr_num,0
0,3,CCU.scalar_veccore1_su_issue_jump_instr_num,26
0,3,CCU.scalar_veccore1_su_issue_pipe_instr_num,52
0,3,CCU.scalar_veccore1_su_issue_others_instr_num,164
0,3,CCU.scalar_veccore1_su_double_issue_cycle,514
0,3,CCU.scalar_veccore1_su_single_issue_cycle,428
0,3,CCU.scalar_veccore1_su_issue_branch_stall_cycle,87
0,3,CCU.scalar_veccore1_su_issue_icache_miss_cycle,3726
0,3,CCU.scalar_veccore1_su_issue_ld_hazard_cycle,2355
0,3,CCU.scalar_veccore1_su_issue_ld_miss_hazard_cycle,910
0,3,CCU.scalar_veccore1_su_issue_st_hazard_cycle,32
0,3,CCU.scalar_veccore1_su_div_hazard_cycle,0
0,3,CCU.scalar_veccore1_su_issue_alu_hazard_cycle,5
0,3,CCU.scalar_veccore1_su_issue_ldst_stall_cycle,0
0,3,CCU.scalar_veccore1_su_issue_bar_all_stall_cycle,2741
0,3,CCU.scalar_veccore1_su_issue_scalar_wait_sync_stall_cycle,0
0,3,CCU.scalar_veccore1_su_issue_wait_scalar_sync_stall_cycle,0
0,3,CCU.scalar_veccore1_su_end_dcci_busy_cycle,853
0,3,CCU.scalar_veccore1_su_issue_mte1_payloadQ_stall_cycle,0
0,3,CCU.scalar_veccore1_su_issue_mte2_payloadQ_stall_cycle,0
0,3,CCU.scalar_veccore1_su_issue_mte3_payloadQ_stall_cycle,0
0,3,CCU.scalar_veccore1_su_issue_fixp_payloadQ_stall_cycle,0
0,3,CCU.scalar_veccore1_su_issue_cube_payloadQ_stall_cycle,0
0,3,CCU.scalar_veccore1_su_issue_vec_payloadQ_stall_cycle,0
0,3,CCU.scalar_veccore1_su_issue_mte1_eventQ_stall_cycle,0
0,3,CCU.scalar_veccore1_su_issue_mte2_eventQ_stall_cycle,0
0,3,CCU.scalar_veccore1_su_issue_mte3_eventQ_stall_cycle,0
0,3,CCU.scalar_veccore1_su_issue_fixp_eventQ_stall_cycle,0
0,3,CCU.scalar_veccore1_su_issue_cube_eventQ_stall_cycle,0
0,3,CCU.scalar_veccore1_su_issue_vec_eventQ_stall_cycle,0
0,3,CCU.scalar_veccore1_su_branch_instr_miss_counter,17
0,3,CCU.scalar_veccore1_su_branch_instr_predict_counter,26
0,3,CCU.scalar_veccore1_su_issue_lsu_mshr_full_cycle,0
0,3,CCU.scalar_veccore1_su_issue_lsu_evict_stall_cycle,0
0,3,CCU.scalar_veccore1_su_issue_lsu_stb_full_cycle,197
0,3,CCU.scalar_veccore1_su_issue_lsu_stb_drain_cycle,972
0,3,CCU.scalar_veccore1_su_issue_branch_reg_instr_num,0
0,3,CCU.scalar_veccore1_su_issue_branch_imm_instr_num,26
0,3,CCU.scalar_veccore1_su_icache_read_stall_cycle,0
0,3,CCU.scalar_veccore1_su_dcache_allocate_size(B),896
0,3,CCU.scalar_veccore1_su_issue_dsb_stall_cycle,0
