ExecInstrId,DispatchTimeTick
61297773248513,3621
61297773248514,3625
61297773248515,3625
61297773248516,3626
61297773248517,3626
61297773248518,3627
61297773248519,3627
61297773248520,3628
61297773248521,3628
61297773248522,3629
61297773248523,3629
61297773248524,3630
61297773248525,3630
61297773248526,3631
61297773248527,3632
61297773248528,3635
61297773248529,3635
61297773248530,3636
61297773248531,3640
61297773248532,3640
61297773248533,3641
61297773248534,3641
61297773248535,3642
61297773248536,3642
61297773248537,3643
61297773248538,3643
61297773248539,3644
61297773248540,3644
61297773248541,3645
61297773248542,3645
61297773248543,3646
61297773248544,3646
61297773248545,3647
61297773248546,3647
61297773248547,3648
61297773248548,3648
61297773248549,3649
61297773248550,3649
61297773248551,3650
61297773248552,3650
61297773248553,3651
61297773248554,3651
61297773248555,3652
61022895341632,3658
61022895341633,3658
61022895341634,3662
61022895341635,3662
61022895341636,3663
61022895341637,3663
61022895341638,3664
61022895341639,3664
61022895341640,3665
61022895341641,3665
61022895341642,3666
61022895341643,3666
61022895341644,3667
61022895341645,3667
61022895341646,3668
61022895341647,3669
61022895341648,3672
61022895341649,3672
2473901162616,3673
2473901162617,3673
61022895341650,3673
2473901162618,3677
2473901162619,3677
61022895341651,3677
61022895341652,3677
2473901162620,3678
2473901162621,3678
61022895341653,3678
61022895341654,3678
2473901162622,3679
2473901162623,3679
61022895341655,3679
61022895341656,3679
2473901162624,3680
2473901162625,3680
61022895341657,3680
61022895341658,3680
2473901162626,3681
2473901162627,3681
61022895341659,3681
61022895341660,3681
2473901162628,3682
2473901162629,3682
61022895341661,3682
61022895341662,3682
2473901162630,3683
61022895341663,3683
61022895341664,3683
2473901162631,3684
61022895341665,3684
61022895341666,3684
61022895341667,3685
61022895341668,3685
61022895341669,3686
61022895341670,3686
2473901162632,3687
2473901162633,3687
61022895341671,3687
61022895341672,3687
2473901162634,3688
61022895341673,3688
61022895341674,3688
61022895341675,3689
2473901162635,3692
2473901162636,3692
2473901162637,3693
2473901162638,3693
2473901162639,3694
2473901162640,3694
2473901162641,3695
2473901162642,3695
2473901162644,3697
2473901162645,3697
2473901162646,3698
2473901162647,3698
2473901162652,3699
2473901162653,3699
2473901162655,3701
2473901162660,3701
2473901162661,3702
2473901162662,3702
2473901162663,3703
2473901162664,3703
2473901162665,3704
2473901162666,3704
2473901162667,3705
2473901162668,3705
2473901162669,3708
2473901162670,3708
2473901162671,3709
2473901162672,3713
2473901162673,3713
2473901162674,3714
2473901162675,3714
2473901162676,3715
2473901162677,3715
2473901162678,3716
2473901162679,3716
2473901162680,3717
2473901162682,3718
2473901162683,3718
2473901162684,3719
2473901162685,3719
2473901162686,3720
2473901162687,3721
2473901162688,3721
2473901162689,3722
2473901162690,3722
2473901162691,3723
2473901162692,3723
2473901162693,3724
2473901162694,3724
2473901162695,3728
2473901162696,3728
2473901162697,3732
2473901162698,3732
2473901162699,3736
2473901162700,3736
