CoreId,CoreTypeId,MetricId,MetricName,MetricValue
0,2,134,c_cycle_exq0_dst_regport_cflt,0
0,2,135,c_cycle_exq1_dst_regport_cflt,0
0,2,136,c_cycle_exq0_valu_cflt,0
0,2,137,c_cycle_exq1_valu_cflt,0
0,2,138,c_cycle_exq0_valu_cflt_thrput,0
0,2,139,c_cycle_exq1_valu_cflt_thrput,0
0,2,140,c_cycle_exq0_valu_cflt_resc,0
0,2,141,c_cycle_exq1_valu_cflt_resc,0
0,2,142,c_cycle_exq0_src_not_ready_all,0
0,2,143,c_cycle_exq1_src_not_ready_all,0
0,2,144,c_busy_ex_instr,192
0,2,145,c_cycle_stq_st_src_not_ready_all,0
0,2,146,c_cycle_stq_sc_src_not_ready_all,0
0,2,147,c_cycle_stq_ga_src_not_ready_all,0
0,2,148,c_cycle_shq_st_src_not_ready_all,1104
0,2,149,c_cycle_shq_sc_src_not_ready_all,0
0,2,150,c_cycle_shq_ga_src_not_ready_all,0
0,2,151,c_cycle_shq_avail_exq0_empty,886
0,2,152,c_cycle_shq_avail_exq1_empty,886
0,2,153,c_cycle_shq_ex_src_bound_by_ld,752
0,2,154,c_busy_ub_instr,903
0,2,155,c_cycle_ex0_stall_by_membar,0
0,2,156,c_cycle_ex1_stall_by_membar,0
0,2,157,c_shq_busy,1200
0,2,158,c_shq_ex0_busy,998
0,2,159,c_shq_ex1_busy,998
0,2,160,c_shq_ex_busy,1019
0,2,161,c_shq_ex0_issue_eq1,112
0,2,162,c_shq_ex1_issue_eq1,112
0,2,163,c_shq_ex_issue_eq1,160
0,2,164,c_shq_ex_issue_eq2,32
0,2,165,c_shq_st_busy,1200
0,2,166,c_shq_st_issue_eq0,1104
0,2,167,c_shq_st_issue_eq1,96
0,2,168,c_shq_sc_busy,0
0,2,169,c_shq_sc_issue_eq0,0
0,2,170,c_shq_sc_issue_eq1,0
0,2,171,c_shq_st_stall.membar,0
0,2,172,c_shq_sc_stall.membar,0
0,2,173,c_shq_st_sc_stall.membar,0
0,2,174,c_shq_st_stall.fu_cflt,0
0,2,175,c_shq_sc_stall.fu_cflt,0
0,2,176,c_shq_st_sc_stall.fu_cflt,0
0,2,177,c_shq_ga_busy,0
0,2,178,c_shq_ga_issue_eq0,0
0,2,179,c_shq_ga_issue_eq1,0
0,2,180,c_shq_ga_stall.membar,0
0,2,181,c_shq_ga_stall.fu_cflt,0
0,2,182,c_exq0_busy,112
0,2,183,c_exq1_busy,112
0,2,184,c_exq_busy,192
0,2,185,c_exq0_issue_eq0,0
0,2,186,c_exq1_issue_eq0,0
0,2,187,c_exq0_issue_eq1,112
0,2,188,c_exq1_issue_eq1,112
0,2,189,c_exq_issue_eq0,0
0,2,190,c_exq_issue_eq1,0
0,2,191,c_exq0_has_ge2_exq1_has_eq0,0
0,2,192,c_exq1_has_ge2_exq0_has_eq0,0
0,2,193,c_ldq_ld_busy,895
0,2,194,c_ldq_ld_issue_eq0,783
0,2,195,c_ldq_ld_issue_eq1,56
0,2,196,c_ldq_ld_issue_eq2,32
0,2,197,c_ldq_ld_stall.membar,783
0,2,198,c_ldq_ld_stall.fu_cflt,0
0,2,199,c_stq_st_busy,0
0,2,200,c_stq_st_issue_eq0,0
0,2,201,c_stq_st_issue_eq1,0
0,2,202,c_stq_sc_busy,0
0,2,203,c_stq_sc_issue_eq0,0
0,2,204,c_stq_sc_issue_eq1,0
0,2,205,c_stq_ga_busy,0
0,2,206,c_stq_ga_issue_eq0,0
0,2,207,c_stq_ga_issue_eq1,0
0,2,208,c_stq_st_stall.membar,0
0,2,209,c_stq_sc_stall.membar,0
0,2,210,c_stq_st_sc_stall.membar,0
0,2,211,c_stq_ga_stall.membar,0
0,2,212,c_stq_st_stall.fu_cflt,0
0,2,213,c_stq_sc_stall.fu_cflt,0
0,2,214,c_stq_st_sc_stall.fu_cflt,0
0,2,215,c_stq_ga_stall.fu_cflt,0
0,3,1,c_stat_ub_ldu_busy,104
0,3,2,c_stat_ub_stu_busy,96
0,3,3,c_stat_ub_gsu_busy,0
0,3,4,c_stat_ub_lsu_busy,200
0,3,5,c_stat_ub_vec_busy,200
0,3,6,c_stat_ldu_blocked,24
0,3,7,c_stat_stu_blocked,0
0,3,8,c_stat_ldu_grant_size,36864
0,3,9,c_stat_stu_grant_size,24576
0,3,10,c_stat_gsu_grant_size,0
0,3,11,c_cycle_icache_miss,306
0,3,12,c_cycle_send_stall,514
0,3,13,c_cycle_branch_wait_sreg,0
0,3,14,c_cycle_vloop_wait_sreg,0
0,3,15,c_cycle_vloop_bmode_flush,0
0,3,16,c_cycle_vloop_fetch_flush,404
0,3,17,c_cycle_vloop_execution,96
0,3,18,c_cycle_vloop_stall,500
0,3,19,c_cycle_wait_sreg,0
0,3,20,c_slot_idu_disp_total,640
0,3,21,c_slot_idu_not_disp.asu_busy,0
0,3,22,c_slot_idu_not_disp.vec_stall,0
0,3,23,c_slot_idu_not_disp.fe_bound,11396
0,3,24,c_cycle_idu_not_disp.asu_busy,0
0,3,25,c_cycle_idu_not_disp.vec_stall,0
0,3,26,c_cycle_idu_not_disp.fe_bound,2006
0,3,27,c_cycle_idu_fifo_empty,1035
0,3,28,c_cycle_idu_fifo_stall,150
0,3,29,c_cycle_idu_sreg_stall,0
0,3,30,c_cycle_idu_instr_stall,31
0,3,31,c_cycle_idu_instr_stall.vloop_iter,15
0,3,32,c_cycle_idu_instr_stall.uop_split,0
0,3,33,c_cycle_idu_ports_stall,10
0,3,34,c_cycle_idu_ports_stall.asu,0
0,3,35,c_cycle_idu_ports_stall.vec,10
0,3,36,c_slot_idu_not_disp.asu_ld_busy,0
0,3,37,c_slot_idu_not_disp.asu_st_busy,0
0,3,38,c_slot_idu_not_disp.asu_mem_bar,0
0,3,39,c_cycle_shq_stall,0
0,3,40,c_cycle_ldq_stall,0
0,3,41,c_cycle_stq_stall,0
0,3,42,c_cycle_exq0_stall,0
0,3,43,c_cycle_exq1_stall,0
0,3,44,c_cycle_phy_reg_stall,0
0,3,45,c_cycle_phy_preg_stall,0
0,3,46,c_cycle_phy_vreg_stall,0
0,3,47,c_slot_idu_disp_rvecsu,96
0,3,48,c_slot_idu_disp_rvecld,144
0,3,49,c_slot_idu_disp_rvecst,96
0,3,50,c_slot_idu_disp_rvecex,224
0,3,51,c_slot_idu_disp_rveclp,16
