Tick,Util,CoreId,CoreTypeId,InstrTypeId
4639,1.0,0,2,55
4649,2.0,0,2,55
4649,1.0,0,2,55
4659,0.0,0,2,55
6663,1.0,0,2,55
6842,0.0,0,2,55
6987,1.0,0,2,55
7381,0.0,0,2,55
7655,1.0,0,2,55
7711,2.0,0,2,55
7834,1.0,0,2,55
7838,2.0,0,2,55
7871,1.0,0,2,55
7901,2.0,0,2,55
8030,1.0,0,2,55
8067,0.0,0,2,55
8489,1.0,0,2,55
8545,2.0,0,2,55
8668,1.0,0,2,55
8672,2.0,0,2,55
8705,1.0,0,2,55
8735,2.0,0,2,55
8864,1.0,0,2,55
8901,0.0,0,2,55
9304,1.0,0,2,55
9360,2.0,0,2,55
9483,1.0,0,2,55
9487,2.0,0,2,55
9520,1.0,0,2,55
9550,2.0,0,2,55
9679,1.0,0,2,55
9716,0.0,0,2,55
10143,1.0,0,2,55
10199,2.0,0,2,55
10322,1.0,0,2,55
10359,0.0,0,2,55
4595,1.0,0,3,55
4605,2.0,0,3,55
4605,1.0,0,3,55
4615,0.0,0,3,55
6620,1.0,0,3,55
6799,0.0,0,3,55
7058,1.0,0,3,55
7423,0.0,0,3,55
7729,1.0,0,3,55
7785,2.0,0,3,55
7908,1.0,0,3,55
7912,2.0,0,3,55
7945,1.0,0,3,55
7975,2.0,0,3,55
8104,1.0,0,3,55
8141,0.0,0,3,55
8555,1.0,0,3,55
8617,2.0,0,3,55
8740,1.0,0,3,55
8744,2.0,0,3,55
8777,1.0,0,3,55
8807,2.0,0,3,55
8936,1.0,0,3,55
8973,0.0,0,3,55
9384,1.0,0,3,55
9440,2.0,0,3,55
9563,1.0,0,3,55
9567,2.0,0,3,55
9600,1.0,0,3,55
9630,2.0,0,3,55
9759,1.0,0,3,55
9796,0.0,0,3,55
10211,1.0,0,3,55
10271,2.0,0,3,55
10394,1.0,0,3,55
10431,0.0,0,3,55
