ExecInstrId,StallReasonId,StallCount
55525337206245,6,3
55525337206249,6,3
55525337206267,6,15
55525337206268,6,1
55525337206274,6,14
55525337206275,6,2
55525337206310,6,22
55525337206315,6,22
55525337206338,6,22
55525337206339,6,11
55525337206343,6,21
55525337206344,6,11
55525337206365,6,22
55525337206370,6,23
55525337208096,6,4
55525337208105,6,4
55525337209269,6,3
55525337209273,6,3
55525337209287,6,15
55525337209288,6,1
55525337209304,6,14
55525337209305,6,2
55525337209342,6,22
55525337209347,6,22
55525337209380,6,22
55525337209381,6,11
55525337209389,6,21
55525337209390,6,11
55525337209447,6,22
55525337209464,6,23
55525337209559,6,4
55525337209564,6,4
55525337210184,6,1
55525337210197,6,1
55525337210268,6,16
55525337210269,6,2
55525337210278,6,15
55525337210279,6,2
55525337210302,6,22
55525337210312,6,23
55525337210344,6,22
55525337210345,6,11
55525337210357,6,21
55525337210358,6,11
55525337210385,6,22
55525337210391,6,23
55525337210477,6,4
55525337210486,6,4
55525337211378,6,3
55525337211382,6,3
55525337211389,6,15
55525337211390,6,1
55525337211394,6,14
55525337211395,6,2
55525337211403,6,22
55525337211408,6,22
55525337211415,6,22
55525337211416,6,11
55525337211420,6,21
55525337211421,6,11
55525337211429,6,22
55525337211434,6,23
55525337211443,6,4
55525337211448,6,4
55525337211680,6,1
55525337211685,6,1
55525337211713,6,16
55525337211714,6,2
55525337211719,6,15
55525337211720,6,2
55525337211735,6,22
55525337211741,6,23
55525337211755,6,22
55525337211756,6,11
55525337211761,6,21
55525337211762,6,11
55525337211777,6,22
55525337211783,6,23
55525337211802,6,4
55525337211807,6,4
55525337212101,6,3
55525337212105,6,3
55525337212112,6,15
55525337212113,6,1
55525337212117,6,14
55525337212118,6,2
55525337212126,6,22
55525337212131,6,22
55525337212138,6,22
55525337212139,6,11
55525337212143,6,21
55525337212144,6,11
55525337212152,6,22
55525337212157,6,23
55525337212166,6,4
55525337212171,6,4
55525337212395,6,1
55525337212400,6,1
55525337212428,6,16
55525337212429,6,2
55525337212434,6,15
55525337212435,6,2
55525337212450,6,22
55525337212456,6,23
55525337212470,6,22
55525337212471,6,11
55525337212476,6,21
55525337212477,6,11
55525337212492,6,22
55525337212498,6,23
55525337212525,6,4
55525337212530,6,4
55525337212831,6,3
55525337212835,6,3
55525337212842,6,15
55525337212843,6,1
55525337212847,6,14
55525337212848,6,2
55525337212856,6,22
55525337212861,6,22
55525337212868,6,22
55525337212869,6,11
55525337212873,6,21
55525337212874,6,11
55525337212882,6,22
55525337212887,6,23
55525337212896,6,4
55525337212901,6,4
55800215113091,6,3
55800215113099,6,3
55800215113114,6,15
55800215113115,6,1
55800215113119,6,14
55800215113120,6,2
55800215113136,6,22
55800215113144,6,22
55800215113151,6,22
55800215113152,6,11
55800215113156,6,21
55800215113157,6,11
55800215113169,6,22
55800215113178,6,23
55800215115174,6,4
55800215115182,6,4
55800215116570,6,3
55800215116575,6,3
55800215116605,6,15
55800215116606,6,1
55800215116615,6,14
55800215116616,6,2
55800215116643,6,22
55800215116649,6,22
55800215116692,6,22
55800215116693,6,11
55800215116702,6,21
55800215116703,6,11
55800215116747,6,22
55800215116761,6,23
55800215116876,6,4
55800215116886,6,4
55800215117517,6,1
55800215117530,6,1
55800215117571,6,16
55800215117572,6,2
55800215117577,6,15
55800215117578,6,2
55800215117620,6,22
55800215117626,6,23
55800215117654,6,22
55800215117655,6,11
55800215117668,6,21
55800215117669,6,11
55800215117692,6,22
55800215117698,6,23
55800215117787,6,4
55800215117797,6,4
55800215118410,6,3
55800215118415,6,3
55800215118429,6,15
55800215118430,6,1
55800215118435,6,14
55800215118436,6,2
55800215118451,6,22
55800215118457,6,22
55800215118471,6,22
55800215118472,6,11
55800215118477,6,21
55800215118478,6,11
55800215118493,6,22
55800215118499,6,23
55800215118531,6,4
55800215118537,6,4
55800215118769,6,1
55800215118774,6,1
55800215118788,6,16
55800215118789,6,2
55800215118794,6,15
55800215118795,6,2
55800215118810,6,22
55800215118816,6,23
55800215118830,6,22
55800215118831,6,11
55800215118836,6,21
55800215118837,6,11
55800215118852,6,22
55800215118858,6,23
55800215118890,6,4
55800215118896,6,4
55800215119141,6,3
55800215119146,6,3
55800215119160,6,15
55800215119161,6,1
55800215119166,6,14
55800215119167,6,2
55800215119182,6,22
55800215119188,6,22
55800215119202,6,22
55800215119203,6,11
55800215119208,6,21
55800215119209,6,11
55800215119224,6,22
55800215119230,6,23
55800215119262,6,4
55800215119268,6,4
55800215119493,6,1
55800215119498,6,1
55800215119526,6,16
55800215119527,6,2
55800215119532,6,15
55800215119533,6,2
55800215119548,6,22
55800215119554,6,23
55800215119568,6,22
55800215119569,6,11
55800215119574,6,21
55800215119575,6,11
55800215119590,6,22
55800215119596,6,23
55800215119628,6,4
55800215119634,6,4
55800215119863,6,3
55800215119868,6,3
55800215119882,6,15
55800215119883,6,1
55800215119888,6,14
55800215119889,6,2
55800215119904,6,22
55800215119910,6,22
55800215119924,6,22
55800215119925,6,11
55800215119930,6,21
55800215119931,6,11
55800215119946,6,22
55800215119952,6,23
55800215119984,6,4
55800215119990,6,4
