Tick,Util,CoreId,CoreTypeId
3719,0.25,0,1
3719,0.5,0,1
3723,0.25,0,1
3723,0.0,0,1
4621,0.25,0,1
4622,0.0,0,1
4623,0.25,0,1
4624,0.0,0,1
4626,0.25,0,1
4627,0.0,0,1
7713,0.25,0,1
7714,0.25,0,1
7714,0.25,0,1
7715,0.0,0,1
8421,0.25,0,1
8422,0.0,0,1
4639,0.3333333333333333,0,2
4641,0.6666666666666666,0,2
4641,1.0,0,2
4646,0.6666666666666666,0,2
4646,0.3333333333333333,0,2
4649,0.3333333333333333,0,2
4649,0.3333333333333333,0,2
4659,0.0,0,2
6004,0.3333333333333333,0,2
6005,0.0,0,2
6006,0.3333333333333333,0,2
6007,0.0,0,2
6011,0.3333333333333333,0,2
6028,0.3333333333333333,0,2
6029,0.3333333333333333,0,2
6037,0.6666666666666666,0,2
6041,0.3333333333333333,0,2
6660,0.3333333333333333,0,2
6660,0.6666666666666666,0,2
6660,0.6666666666666666,0,2
6661,0.6666666666666666,0,2
6661,0.3333333333333333,0,2
6661,0.3333333333333333,0,2
6662,0.3333333333333333,0,2
6662,0.3333333333333333,0,2
6663,0.3333333333333333,0,2
6663,0.3333333333333333,0,2
6842,0.0,0,2
6843,0.3333333333333333,0,2
6844,0.0,0,2
6983,0.3333333333333333,0,2
6987,0.3333333333333333,0,2
6987,0.3333333333333333,0,2
7013,0.3333333333333333,0,2
7014,0.3333333333333333,0,2
7017,0.3333333333333333,0,2
7018,0.3333333333333333,0,2
7029,0.6666666666666666,0,2
7030,0.3333333333333333,0,2
7057,0.6666666666666666,0,2
7058,0.3333333333333333,0,2
7059,0.6666666666666666,0,2
7060,0.3333333333333333,0,2
7064,0.6666666666666666,0,2
7082,0.6666666666666666,0,2
7083,0.6666666666666666,0,2
7091,0.6666666666666666,0,2
7095,0.6666666666666666,0,2
7124,0.6666666666666666,0,2
7128,0.6666666666666666,0,2
7156,0.6666666666666666,0,2
7157,0.6666666666666666,0,2
7160,0.6666666666666666,0,2
7161,0.6666666666666666,0,2
7172,1.0,0,2
7173,0.6666666666666666,0,2
7229,0.6666666666666666,0,2
7230,0.6666666666666666,0,2
7238,0.6666666666666666,0,2
7242,0.6666666666666666,0,2
7271,0.6666666666666666,0,2
7275,0.6666666666666666,0,2
7303,0.6666666666666666,0,2
7304,0.6666666666666666,0,2
7307,0.6666666666666666,0,2
7308,0.6666666666666666,0,2
7319,1.0,0,2
7320,0.6666666666666666,0,2
7376,0.6666666666666666,0,2
7377,0.6666666666666666,0,2
7381,0.3333333333333333,0,2
7382,0.6666666666666666,0,2
7383,1.0,0,2
7383,1.0,0,2
7383,1.0,0,2
7384,1.0,0,2
7384,1.0,0,2
7384,1.0,0,2
7384,0.6666666666666666,0,2
7385,0.6666666666666666,0,2
7385,1.0,0,2
7385,1.0,0,2
7385,1.0,0,2
7386,1.0,0,2
7389,0.6666666666666666,0,2
7418,1.0,0,2
7422,0.6666666666666666,0,2
7450,1.0,0,2
7451,0.6666666666666666,0,2
7454,1.0,0,2
7455,0.6666666666666666,0,2
7466,0.6666666666666666,0,2
7467,0.6666666666666666,0,2
7516,0.6666666666666666,0,2
7516,0.6666666666666666,0,2
7517,0.3333333333333333,0,2
7523,0.3333333333333333,0,2
7524,0.3333333333333333,0,2
7532,0.6666666666666666,0,2
7536,0.3333333333333333,0,2
7565,0.6666666666666666,0,2
7569,0.3333333333333333,0,2
7597,0.6666666666666666,0,2
7598,0.3333333333333333,0,2
7601,0.6666666666666666,0,2
7602,0.3333333333333333,0,2
7613,0.6666666666666666,0,2
7614,0.3333333333333333,0,2
7652,0.3333333333333333,0,2
7652,0.6666666666666666,0,2
7652,0.6666666666666666,0,2
7653,0.6666666666666666,0,2
7653,0.6666666666666666,0,2
7653,0.6666666666666666,0,2
7653,0.6666666666666666,0,2
7654,0.6666666666666666,0,2
7654,0.6666666666666666,0,2
7654,0.6666666666666666,0,2
7655,0.6666666666666666,0,2
7655,0.6666666666666666,0,2
7670,0.6666666666666666,0,2
7671,0.6666666666666666,0,2
7679,0.6666666666666666,0,2
7683,0.6666666666666666,0,2
7711,0.6666666666666666,0,2
7712,0.6666666666666666,0,2
7716,0.6666666666666666,0,2
7744,0.6666666666666666,0,2
7745,0.6666666666666666,0,2
7748,0.6666666666666666,0,2
7749,0.6666666666666666,0,2
7749,0.6666666666666666,0,2
7749,0.6666666666666666,0,2
7749,0.6666666666666666,0,2
7750,0.3333333333333333,0,2
7750,0.3333333333333333,0,2
7751,0.3333333333333333,0,2
7752,0.3333333333333333,0,2
7760,0.6666666666666666,0,2
7761,0.3333333333333333,0,2
7817,0.6666666666666666,0,2
7818,0.3333333333333333,0,2
7826,0.3333333333333333,0,2
7830,0.3333333333333333,0,2
7834,0.3333333333333333,0,2
7835,0.3333333333333333,0,2
7836,0.3333333333333333,0,2
7838,0.3333333333333333,0,2
7859,0.3333333333333333,0,2
7863,0.3333333333333333,0,2
7871,0.3333333333333333,0,2
7872,0.3333333333333333,0,2
7873,0.6666666666666666,0,2
7873,0.6666666666666666,0,2
7873,0.6666666666666666,0,2
7874,1.0,0,2
7874,1.0,0,2
7874,1.0,0,2
7874,1.0,0,2
7874,1.0,0,2
7875,1.0,0,2
7875,1.0,0,2
7875,1.0,0,2
7875,1.0,0,2
7875,1.0,0,2
7876,1.0,0,2
7876,1.0,0,2
7891,1.0,0,2
7892,1.0,0,2
7895,1.0,0,2
7896,1.0,0,2
7901,1.0,0,2
7907,1.0,0,2
7908,1.0,0,2
7964,1.0,0,2
7965,1.0,0,2
7973,1.0,0,2
7977,1.0,0,2
8006,1.0,0,2
8010,1.0,0,2
8030,1.0,0,2
8031,1.0,0,2
8032,1.0,0,2
8038,1.0,0,2
8039,1.0,0,2
8042,1.0,0,2
8043,1.0,0,2
8054,1.0,0,2
8055,1.0,0,2
8067,0.6666666666666666,0,2
8068,1.0,0,2
8069,1.0,0,2
8069,1.0,0,2
8069,1.0,0,2
8070,1.0,0,2
8070,1.0,0,2
8070,0.6666666666666666,0,2
8071,0.6666666666666666,0,2
8071,0.6666666666666666,0,2
8072,0.6666666666666666,0,2
8227,0.6666666666666666,0,2
8227,0.6666666666666666,0,2
8228,0.6666666666666666,0,2
8228,0.6666666666666666,0,2
8229,0.6666666666666666,0,2
8231,0.6666666666666666,0,2
8231,0.6666666666666666,0,2
8232,0.3333333333333333,0,2
8486,0.3333333333333333,0,2
8486,0.6666666666666666,0,2
8486,0.6666666666666666,0,2
8487,0.6666666666666666,0,2
8487,0.6666666666666666,0,2
8487,0.6666666666666666,0,2
8487,0.6666666666666666,0,2
8488,0.6666666666666666,0,2
8488,0.6666666666666666,0,2
8488,0.6666666666666666,0,2
8488,0.6666666666666666,0,2
8488,0.6666666666666666,0,2
8489,0.6666666666666666,0,2
8489,0.3333333333333333,0,2
8489,0.3333333333333333,0,2
8490,0.3333333333333333,0,2
8491,0.3333333333333333,0,2
8492,0.3333333333333333,0,2
8493,0.3333333333333333,0,2
8545,0.3333333333333333,0,2
8668,0.3333333333333333,0,2
8669,0.3333333333333333,0,2
8670,0.3333333333333333,0,2
8672,0.3333333333333333,0,2
8705,0.3333333333333333,0,2
8706,0.3333333333333333,0,2
8707,0.6666666666666666,0,2
8707,0.6666666666666666,0,2
8707,0.6666666666666666,0,2
8708,1.0,0,2
8708,1.0,0,2
8708,1.0,0,2
8708,1.0,0,2
8708,1.0,0,2
8709,1.0,0,2
8709,1.0,0,2
