CoreId,CoreTypeId,EventTick,SprName,SprValue
0,1,6413,CONDITION_FLAG,0
0,1,6435,CONDITION_FLAG,1
0,1,6444,CONDITION_FLAG,1
0,1,6452,CONDITION_FLAG,0
0,1,6465,CONDITION_FLAG,0
0,1,6524,CONDITION_FLAG,1
0,1,6548,CONDITION_FLAG,0
0,1,6571,CONDITION_FLAG,1
0,1,6573,CONDITION_FLAG,1
0,1,6594,CONDITION_FLAG,0
0,1,6602,CONDITION_FLAG,0
0,1,6615,CONDITION_FLAG,0
0,1,6677,CONDITION_FLAG,0
0,1,6688,CONDITION_FLAG,0
0,1,6710,CONDITION_FLAG,0
0,1,6719,CONDITION_FLAG,0
0,1,6727,CONDITION_FLAG,0
0,1,6740,CONDITION_FLAG,0
0,1,6799,CONDITION_FLAG,0
0,1,6823,CONDITION_FLAG,0
0,1,6846,CONDITION_FLAG,0
0,1,6848,CONDITION_FLAG,1
0,1,6869,CONDITION_FLAG,1
0,1,6877,CONDITION_FLAG,0
0,1,6890,CONDITION_FLAG,0
0,1,6952,CONDITION_FLAG,1
0,1,6963,CONDITION_FLAG,0
0,1,6985,CONDITION_FLAG,1
0,1,6994,CONDITION_FLAG,1
0,2,6997,CONDITION_FLAG,0
0,1,7002,CONDITION_FLAG,0
0,2,7009,CONDITION_FLAG,0
0,1,7015,CONDITION_FLAG,0
0,2,7033,CONDITION_FLAG,1
0,2,7045,CONDITION_FLAG,1
0,2,7046,CONDITION_FLAG,0
0,3,7068,CONDITION_FLAG,0
0,2,7073,CONDITION_FLAG,1
0,1,7074,CONDITION_FLAG,1
0,2,7078,CONDITION_FLAG,1
0,3,7080,CONDITION_FLAG,0
0,1,7098,CONDITION_FLAG,0
0,3,7104,CONDITION_FLAG,1
0,2,7105,CONDITION_FLAG,1
0,2,7106,CONDITION_FLAG,0
0,3,7116,CONDITION_FLAG,1
0,3,7117,CONDITION_FLAG,0
0,1,7121,CONDITION_FLAG,1
0,1,7123,CONDITION_FLAG,0
0,2,7138,CONDITION_FLAG,1
0,3,7144,CONDITION_FLAG,1
0,1,7149,CONDITION_FLAG,0
0,3,7149,CONDITION_FLAG,1
0,2,7150,CONDITION_FLAG,1
0,1,7161,CONDITION_FLAG,0
0,1,7170,CONDITION_FLAG,0
0,2,7176,CONDITION_FLAG,1
0,3,7176,CONDITION_FLAG,1
0,3,7177,CONDITION_FLAG,0
0,1,7179,CONDITION_FLAG,0
0,1,7188,CONDITION_FLAG,0
0,2,7188,CONDITION_FLAG,0
0,2,7189,CONDITION_FLAG,0
0,3,7209,CONDITION_FLAG,1
0,2,7220,CONDITION_FLAG,0
0,3,7221,CONDITION_FLAG,1
0,2,7225,CONDITION_FLAG,0
0,3,7247,CONDITION_FLAG,1
0,2,7252,CONDITION_FLAG,0
0,2,7253,CONDITION_FLAG,0
0,3,7259,CONDITION_FLAG,0
0,3,7260,CONDITION_FLAG,0
0,2,7285,CONDITION_FLAG,0
0,3,7291,CONDITION_FLAG,0
0,3,7296,CONDITION_FLAG,0
0,2,7297,CONDITION_FLAG,0
0,2,7323,CONDITION_FLAG,1
0,3,7323,CONDITION_FLAG,0
0,3,7324,CONDITION_FLAG,0
0,2,7335,CONDITION_FLAG,1
0,2,7336,CONDITION_FLAG,0
0,3,7356,CONDITION_FLAG,0
0,2,7367,CONDITION_FLAG,1
0,3,7368,CONDITION_FLAG,0
0,2,7372,CONDITION_FLAG,1
0,1,7387,CONDITION_FLAG,1
0,1,7392,CONDITION_FLAG,0
0,3,7394,CONDITION_FLAG,1
0,2,7399,CONDITION_FLAG,1
0,2,7400,CONDITION_FLAG,0
0,1,7401,CONDITION_FLAG,0
0,3,7406,CONDITION_FLAG,1
0,3,7407,CONDITION_FLAG,0
0,1,7410,CONDITION_FLAG,0
0,1,7431,CONDITION_FLAG,1
0,2,7432,CONDITION_FLAG,1
0,3,7438,CONDITION_FLAG,1
0,1,7440,CONDITION_FLAG,0
0,3,7443,CONDITION_FLAG,1
0,2,7444,CONDITION_FLAG,1
0,1,7449,CONDITION_FLAG,0
0,1,7458,CONDITION_FLAG,0
0,2,7470,CONDITION_FLAG,1
0,3,7470,CONDITION_FLAG,1
0,3,7471,CONDITION_FLAG,0
0,2,7482,CONDITION_FLAG,0
0,2,7483,CONDITION_FLAG,0
0,3,7503,CONDITION_FLAG,1
0,2,7514,CONDITION_FLAG,0
0,3,7515,CONDITION_FLAG,1
0,2,7519,CONDITION_FLAG,0
0,3,7541,CONDITION_FLAG,1
0,2,7546,CONDITION_FLAG,0
0,2,7547,CONDITION_FLAG,0
0,3,7553,CONDITION_FLAG,0
0,3,7554,CONDITION_FLAG,0
0,2,7579,CONDITION_FLAG,0
0,3,7585,CONDITION_FLAG,0
0,3,7590,CONDITION_FLAG,0
0,2,7591,CONDITION_FLAG,0
0,2,7617,CONDITION_FLAG,1
0,3,7617,CONDITION_FLAG,0
0,3,7618,CONDITION_FLAG,0
0,2,7629,CONDITION_FLAG,1
0,2,7630,CONDITION_FLAG,0
0,1,7645,CONDITION_FLAG,1
0,1,7650,CONDITION_FLAG,0
0,3,7650,CONDITION_FLAG,0
0,1,7659,CONDITION_FLAG,0
0,2,7661,CONDITION_FLAG,1
0,3,7662,CONDITION_FLAG,0
0,2,7666,CONDITION_FLAG,1
0,1,7668,CONDITION_FLAG,0
0,3,7688,CONDITION_FLAG,1
0,1,7689,CONDITION_FLAG,1
0,2,7693,CONDITION_FLAG,1
0,1,7694,CONDITION_FLAG,1
0,2,7694,CONDITION_FLAG,0
0,1,7698,CONDITION_FLAG,0
0,3,7700,CONDITION_FLAG,1
0,3,7701,CONDITION_FLAG,0
0,2,7726,CONDITION_FLAG,1
0,3,7732,CONDITION_FLAG,1
0,3,7737,CONDITION_FLAG,1
0,2,7738,CONDITION_FLAG,1
0,2,7764,CONDITION_FLAG,1
0,3,7764,CONDITION_FLAG,1
0,3,7765,CONDITION_FLAG,0
0,2,7776,CONDITION_FLAG,0
0,2,7777,CONDITION_FLAG,0
0,3,7797,CONDITION_FLAG,1
0,2,7808,CONDITION_FLAG,0
0,3,7809,CONDITION_FLAG,1
0,2,7813,CONDITION_FLAG,0
0,3,7835,CONDITION_FLAG,1
0,2,7840,CONDITION_FLAG,0
0,2,7841,CONDITION_FLAG,0
0,3,7847,CONDITION_FLAG,0
0,3,7848,CONDITION_FLAG,0
0,2,7873,CONDITION_FLAG,0
0,3,7879,CONDITION_FLAG,0
0,3,7884,CONDITION_FLAG,0
0,2,7885,CONDITION_FLAG,0
0,2,7911,CONDITION_FLAG,1
0,3,7911,CONDITION_FLAG,0
0,3,7912,CONDITION_FLAG,0
0,2,7923,CONDITION_FLAG,1
0,2,7924,CONDITION_FLAG,0
0,3,7944,CONDITION_FLAG,0
0,2,7955,CONDITION_FLAG,1
0,3,7956,CONDITION_FLAG,0
0,2,7960,CONDITION_FLAG,1
0,3,7982,CONDITION_FLAG,1
0,2,7987,CONDITION_FLAG,1
0,2,7988,CONDITION_FLAG,0
0,3,7994,CONDITION_FLAG,1
0,3,7995,CONDITION_FLAG,0
0,2,8020,CONDITION_FLAG,1
0,3,8026,CONDITION_FLAG,1
0,3,8031,CONDITION_FLAG,1
0,2,8032,CONDITION_FLAG,1
0,2,8058,CONDITION_FLAG,0
0,3,8058,CONDITION_FLAG,1
0,3,8059,CONDITION_FLAG,0
0,2,8068,CONDITION_FLAG,0
0,3,8091,CONDITION_FLAG,1
0,3,8103,CONDITION_FLAG,1
0,3,8129,CONDITION_FLAG,0
0,3,8139,CONDITION_FLAG,0
